	175M	126	185	112	149	180	113	178	177	106
I:12 	805 	0 	1 	235 	0 	705 	10 	4 	1 	0 

I:31 	0 	0 	0 	6 	0 	0 	0 	0 	0 	0 

I:74 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 

I:437 	0 	0 	1 	0 	2 	0 	0 	0 	2 	1 

I:4 	0 	0 	1 	0 	0 	2 	0 	0 	0 	0 

I:7 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 

I:8 	0 	0 	0 	1 	0 	1 	0 	0 	0 	0 

I:288 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 

I:411 	0 	0 	0 	8 	0 	0 	0 	0 	0 	0 

I:138 	54 	0 	0 	11 	0 	55 	0 	0 	0 	0 

I:40 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 

I:55 	2 	0 	1 	0 	0 	4 	0 	0 	0 	0 

I:301 	1 	0 	33 	0 	13 	0 	0 	9 	21 	6 

I:160 	14 	0 	0 	1 	0 	11 	0 	0 	0 	0 

I:220 	0 	0 	12 	0 	7 	0 	0 	5 	11 	8 

I:148 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 

I:266 	0 	0 	0 	0 	1 	0 	0 	0 	0 	3 

I:127 	19 	0 	0 	0 	0 	18 	0 	0 	0 	0 

I:265 	0 	0 	0 	33 	0 	0 	0 	0 	0 	0 

I:47 	0 	0 	0 	5 	0 	4 	0 	0 	0 	0 

I:63 	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 

I:60 	8 	0 	0 	2 	0 	8 	0 	0 	0 	0 

I:0 	311 	2 	11 	268 	3 	353 	10 	2 	3 	3 

I:444 	0 	0 	2 	0 	0 	0 	0 	1 	0 	0 

I:254 	0 	0 	0 	0 	0 	0 	0 	1 	2 	2 

I:253 	42 	2 	1447 	2 	2153 	46 	4 	1736 	1995 	1918 

I:118 	43 	0 	0 	7 	0 	58 	0 	0 	0 	0 

I:290 	0 	0 	0 	0 	0 	0 	0 	0 	3 	1 

I:259 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 

I:235 	0 	0 	88 	0 	13 	1 	0 	10 	21 	38 

I:54 	0 	0 	0 	4 	0 	0 	0 	0 	0 	0 

I:210 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 

I:53 	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 

I:336 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 

I:97 	303 	0 	0 	31 	0 	401 	0 	0 	0 	0 

I:179 	0 	1 	0 	1051 	1 	0 	0 	0 	0 	4 

